Александр,Сергеевич,Пушкин
Михаил,Васильевич,Ломоносов
Александр,Петрович,Сумароков
Гавриил,Романович,Державин
Денис,Иванович,Фонвизин
Александр,Николаевич,Радищев
Николай,Михайлович,Карамзин
Иван,Андреевич,Крылов
Василий,Андреевич,Жуковский
Денис,Васильевич,Давыдов
Николай,Иванович,Гнедич
Федор,Николаевич,Глинка
Константин,Николаевич,Батюшков
Михаил,Николаевич,Загоскин
Сергей,Тимофеевич,Аксаков
Пётр,Андреевич,Вяземский
Александр,Сергеевич,Грибоедов
Александр,Александрович,Бестужев-Марлинский
Евгений,Абрамович,Боратынский
Федор,Иванович,Тютчев